group	key	x
1	1	-2.5758293035489
1	2	-2.17009037758456
1	3	-1.95996398454005
1	4	-1.8119106729526
1	5	-1.69539771027214
1	6	-1.59819313992282
1	7	-1.51410188761928
1	8	-1.43953147093846
1	9	-1.37220380899873
1	10	-1.31057911216813
1	11	-1.25356543847045
1	12	-1.20035885803086
1	13	-1.15034938037601
1	14	-1.1030625561996
1	15	-1.05812161768478
1	16	-1.01522203321703
1	17	-0.974113877059309
1	18	-0.93458929107348
1	19	-0.896473364001916
1	20	-0.859617364241911
1	21	-0.823893630338558
1	22	-0.789191652658222
1	23	-0.755415026360469
1	24	-0.722479051928063
1	25	-0.690308823933034
1	26	-0.658837692736188
1	27	-0.62800601443757
1	28	-0.597760126042478
1	29	-0.568051498338983
1	30	-0.53883603027845
1	31	-0.510073456968595
1	32	-0.48172684958473
1	33	-0.453762190169879
1	34	-0.426148007841278
1	35	-0.398855065642337
1	36	-0.371856089385075
1	37	-0.345125531470472
1	38	-0.318639363964375
1	39	-0.292374896226804
1	40	-0.266310613204095
1	41	-0.240426031142308
1	42	-0.214701568001745
1	43	-0.189118426272793
1	44	-0.163658486233141
1	45	-0.138304207961405
1	46	-0.113038540644565
1	47	-0.0878448378958717
1	48	-0.0627067779432138
1	49	-0.0376082876612559
1	50	-0.0125334695080693
1	51	0.0125334695080693
1	52	0.0376082876612559
1	53	0.0627067779432138
1	54	0.0878448378958718
1	55	0.113038540644565
1	56	0.138304207961405
1	57	0.163658486233141
1	58	0.189118426272792
1	59	0.214701568001744
1	60	0.240426031142308
1	61	0.266310613204095
1	62	0.292374896226804
1	63	0.318639363964375
1	64	0.345125531470472
1	65	0.371856089385075
1	66	0.398855065642337
1	67	0.426148007841278
1	68	0.45376219016988
1	69	0.48172684958473
1	70	0.510073456968595
1	71	0.53883603027845
1	72	0.568051498338983
1	73	0.597760126042478
1	74	0.62800601443757
1	75	0.658837692736188
1	76	0.690308823933034
1	77	0.722479051928063
1	78	0.755415026360469
1	79	0.789191652658222
1	80	0.823893630338558
1	81	0.859617364241912
1	82	0.896473364001916
1	83	0.93458929107348
1	84	0.974113877059309
1	85	1.01522203321703
1	86	1.05812161768478
1	87	1.1030625561996
1	88	1.15034938037601
1	89	1.20035885803086
1	90	1.25356543847045
1	91	1.31057911216813
1	92	1.37220380899873
1	93	1.43953147093846
1	94	1.51410188761928
1	95	1.59819313992282
1	96	1.69539771027214
1	97	1.8119106729526
1	98	1.95996398454005
1	99	2.17009037758456
1	100	2.5758293035489
