group	y
1	-0.124643489103823
1	-0.238751228471328
1	-0.110446559819182
1	-0.174388551819063
1	-0.228121003708589
1	-0.245251749410981
1	-0.323986059595212
1	-0.273848954262134
1	-0.150671654389491
1	-0.115477910524309
1	-0.160366425141203
1	-0.15589303084781
1	-0.151786153509245
1	-0.137384848304474
1	-0.0463250325371771
1	-0.0888137597868393
1	-0.108556585368293
1	-0.145062164484378
1	-0.172876139580834
1	-0.20659324691533
1	-0.231498649542248
1	-0.248420220280398
1	-0.249873616713089
1	-0.168657811594656
1	-0.165196277114443
1	-0.147955467638548
1	-0.145568512908088
1	-0.129132978219852
1	-0.130956521726052
1	-0.133598374636283
1	-0.156467176335651
1	-0.144204075876998
1	-0.155211736252402
1	-0.178376835076124
1	-0.192690848339996
1	-0.203475322458498
1	-0.226066540139896
1	-0.13124660311183
1	-0.124865302932998
1	-0.140144073858283
1	-0.152786678602413
1	-0.147158859126001
1	-0.138857920594242
1	-0.128377109676339
1	-0.134486821440201
1	-0.157208545220771
1	-0.177837785776971
1	-0.180079686381716
1	-0.175031782897397
1	-0.192370440448742
1	-0.17653712244901
1	-0.125592471077451
1	-0.142756164361447
1	-0.161391126546369
1	-0.181453845533952
1	-0.108285011421324
1	0.0226023633956963
1	0.0368788479623869
1	0.0155480697787762
1	0.0409129616534967
1	0.0319808274411018
1	0.0168526702587217
1	0.0362966093300651
1	0.0298292242596185
1	0.0652119526376576
1	0.0433391185038058
1	0.0322031870497499
1	0.030517190721264
1	0.00527848409129117
1	0.0026857133686653
1	0.0544459411546674
1	0.0446868702476596
1	0.0618794857242053
1	0.0541319606784412
1	0.0509189606594768
1	0.0251726672353874
1	0.0257682930205702
1	-0.000254861582376753
1	0.00979275687459447
1	0.0177384741215263
1	0.0130484598062069
1	0.0294074486762899
1	0.0576980571850752
1	0.041909327088592
1	0.103053227217347
1	0.17635954396112
1	0.140824912709456
1	0.110842563979273
1	0.130578178423311
1	0.0834816235555753
1	0.0415664736794517
1	0.0516680263388125
1	0.011343069232352
1	0.0350063891033914
1	-0.0249141623898599
1	-0.0195242299614113
1	-0.122820419811289
1	-0.150444966553749
1	-0.105186362859366
1	-0.180662141694345
